Timestamp;Username;text;retweet_count
Wed Sep 20 09:55:50 +0000 2017;Valentin;@BurgerKingFR Sinon y’a un nouveaux Burger King à la Réunion hein ...;0
Wed Sep 20 09:53:29 +0000 2017;Little Panda?????;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 09:46:08 +0000 2017;Vincent 7??'S;RT @BurgerKingFR: Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 09:44:35 +0000 2017;Manon;Si le @BurgerKingFR ouvre à Clermont Ferrand, je paye un whopper au maire ?;0
Wed Sep 20 09:43:20 +0000 2017;Simon ??;@antoine865121 @BurgerKingFR Si seulement, comme au Maroc ou je me faisais livrer, le paraaaaaadis ?;0
Wed Sep 20 09:42:06 +0000 2017;Antoine;@Ziimoune @BurgerKingFR Demande à burger King de faire une livraison spécialement pour toi?;0
Wed Sep 20 09:41:41 +0000 2017;Simon ??;@antoine865121 @BurgerKingFR Trop de boulot cette semaine ...;0
Wed Sep 20 09:39:29 +0000 2017;Antoine;@Ziimoune @BurgerKingFR Pas le temps pour aller au burger King ??;0
Wed Sep 20 09:38:43 +0000 2017;Simon ??;@antoine865121 @BurgerKingFR Tu sais déjà ce que je vais manger ce soir ??;0
Wed Sep 20 09:38:30 +0000 2017;Simon ??;@antoine865121 @BurgerKingFR Héhé ! Oui hier j'etais invité à l'avant premier mais j'ai pas eu le temps d'y aller ?;0
Wed Sep 20 09:32:02 +0000 2017;Benji???;@BurgerKingFR Si vous voulez y a de la place au rez de chaussé chez moi jvous laisse vous installer en échange bouf… https://t.co/G9AdoCZRok;0
Wed Sep 20 09:31:24 +0000 2017;titi;Tout ce que je sens là c'est l'odeur de transpi dans ma salle de cours https://t.co/YCnwaF6kkX;0
Wed Sep 20 09:30:41 +0000 2017;Messiah;@BurgerKingFR Après si vous voulez manger des cadavres c'est votre problème;0
Wed Sep 20 09:30:28 +0000 2017;Mac_Flury;@BurgerKingFR gardez nous la meilleure place pour samedi midi  ??????;0
Wed Sep 20 09:30:21 +0000 2017;M E L ?;RT @ElodieOp: @melxniemft enfin un truc à voir dans le poitou https://t.co/dLjmI6VzbJ;1
Wed Sep 20 09:29:18 +0000 2017;Élodie ????;@melxniemft enfin un truc à voir dans le poitou https://t.co/dLjmI6VzbJ;1
Wed Sep 20 09:27:06 +0000 2017;Steve Gab's ?;@BurgerKingFR Vous etes vraiment des BD !!!Jamais vous aller ouvrir chez moi ? c'est pas possible, BORDEL !;0
Wed Sep 20 09:25:16 +0000 2017;Burger King France;Vous la sentez là, cette délicieuse odeur de viande grillée ? De rien. https://t.co/qdjCwSx2j3;8
Wed Sep 20 09:00:20 +0000 2017;mi vida;@Free_Liine eh faut vraiment qu'on y aille https://t.co/B61Agd6sJJ;0
Wed Sep 20 08:59:09 +0000 2017;mi vida;@Free_Liine il nous attend https://t.co/oFu9j17XSX;0
Wed Sep 20 08:54:11 +0000 2017;Samuel MisterGeek;C’est quand qu’il ouvre le @BurgerKingFR de Viry-Châtillon ? Hâte de déguster un #tendercrisp pas trop loin de chez moi ! ????;0
Wed Sep 20 08:31:45 +0000 2017;Dylan LEGROS ???;@Jeff06am @BurgerKingFR A l’intérieure c’était pire ?;0
Wed Sep 20 08:27:56 +0000 2017;macinside;En france on a fait queue quand @BurgerKingFR est revenu :D https://t.co/CqHamBEhqL;0
Wed Sep 20 08:21:36 +0000 2017;Rouroux;@Tatsunao @Jax0o @BurgerKingFR C'moi qui est fait les viande j'espère z'etes co tant on en a chié nos vie la... XD;0
Wed Sep 20 05:57:45 +0000 2017;toreyul;@Dylan_Legros @BurgerKingFR des fous... ?;0
Wed Sep 20 05:55:17 +0000 2017;Dylan LEGROS ???;La file d'attente au drive du 1er @BurgerKingFR à la Réunion. Je vous laisse imaginer la file d'attente à l'intérie… https://t.co/xjWh29jWTH;9
Wed Sep 20 05:26:45 +0000 2017;A L S;RT @lepopulaire_fr: Un deuxième @BurgerKingFR va ouvrir à #Limoges !https://t.co/g0RmKfyAvb https://t.co/e62R7nfXC5;30
Tue Sep 19 22:19:40 +0000 2017;Humble;RT @jhcng: @Supra_Shadows @BurgerKingFR laissez les employés manger les aliments encore comestibles destinés à être jetés svp ?;1
Tue Sep 19 22:15:01 +0000 2017;Julian;@Supra_Shadows @BurgerKingFR laissez les employés manger les aliments encore comestibles destinés à être jetés svp ?;1
Tue Sep 19 21:38:31 +0000 2017;Kendrick Leonard??;RT @lepopulaire_fr: Un deuxième @BurgerKingFR va ouvrir à #Limoges !https://t.co/g0RmKfyAvb https://t.co/e62R7nfXC5;30
Tue Sep 19 21:20:51 +0000 2017;h??io;RT @lepopulaire_fr: Un deuxième @BurgerKingFR va ouvrir à #Limoges !https://t.co/g0RmKfyAvb https://t.co/e62R7nfXC5;30
Tue Sep 19 20:39:02 +0000 2017;Valentin Godard;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 20:35:59 +0000 2017;Roxas;@_MichiyoSama @BurgerKingFR Sa fait 45 min de route donc oui;0
Tue Sep 19 20:34:53 +0000 2017;-Sasou.;@RoxasDragnir @BurgerKingFR ça fait loin pour un burger mdr;0
Tue Sep 19 20:34:45 +0000 2017;Odyss ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 20:32:42 +0000 2017;GG;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 20:31:33 +0000 2017;Roxas;@_MichiyoSama @BurgerKingFR Parce que les gens comme toi me donne la dalle et j'ai pas de voiture pour allez jusqu'en suisse pour tester XD;0
Tue Sep 19 20:29:29 +0000 2017;Roxas;@_MichiyoSama Bon alors @BurgerKingFR vous allez vous bougez les fesses et ouvrir un burger King a Mulhouse bordel à patate;0
Tue Sep 19 20:25:44 +0000 2017;Manon?Bouttier;RT @JuliaBayonetta: • 500 #Like 500 #RT et je fais une vidéo dégustation sur ma chaîne YouTube des Burgers Surprises MDRR ! @BurgerKingFR…;316
Tue Sep 19 20:06:06 +0000 2017;Carlo_comics;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 20:01:17 +0000 2017;VALE;@BurgerKingFR Yes ! Enfin;0
Tue Sep 19 19:59:31 +0000 2017;potemkine;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 19:52:43 +0000 2017;Minou;@itsmarybeauty @BurgerKingFR En vrais on est obliger de t’en donner une autre on a pas de preuve qu’elle étais pleine à la base;0
Tue Sep 19 19:51:49 +0000 2017;Its Mary;@Mina_zgr @BurgerKingFR Deal j'ramene la boute vide c'est bon? Mdrrrrr;0
Tue Sep 19 19:33:40 +0000 2017;Laurie;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 19:22:26 +0000 2017;RekTom;@BurgerKingFR KE c'est meilleur;0
Tue Sep 19 19:12:35 +0000 2017;Tom Crespel;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 19:09:50 +0000 2017;HervéGOTZila;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:56:14 +0000 2017;????;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:45:38 +0000 2017;Minou;@itsmarybeauty @BurgerKingFR Non la par contre c’est l’abus tu les ramène moi j’t’en offre deux même;0
Tue Sep 19 18:44:30 +0000 2017;John Clarke;@BurgerKing pas le droit d’être allergique à un produit ! Vive @BurgerKingFR. @McDonalds c’est mieux;0
Tue Sep 19 18:42:56 +0000 2017;iamnils?;@louise_bxj @lepopulaire_fr @BurgerKingFR Non pas du tout;0
Tue Sep 19 18:39:29 +0000 2017;M.G.L.V;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:39:10 +0000 2017;S???z? ??;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:38:53 +0000 2017;Thibaut ??;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:36:10 +0000 2017;cece ???;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:32:52 +0000 2017;Adilson;Le cornichon il est plus épais que le steak https://t.co/9JYFJkBlq6;0
Tue Sep 19 18:31:17 +0000 2017;TOP1PUBGFACILE !;@BurgerKingFR Wai bah le bonheur y fais du bien ou pas ??;0
Tue Sep 19 18:28:22 +0000 2017;Nicolas;@BurgerKingFR c'est pour quand à mulhouse ? j'aimerai bien vous goûtez;0
Tue Sep 19 18:28:13 +0000 2017;Leo. A;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:23:13 +0000 2017;Lui;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:18:01 +0000 2017;Maxxx;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:15:40 +0000 2017;Ozyrus ???;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:15:28 +0000 2017;onix onix;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:14:21 +0000 2017;Sarrazin;@BurgerKingFR Trop cher pour un vieux steak recomposé;0
Tue Sep 19 18:09:53 +0000 2017;Erwan;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:09:01 +0000 2017;??;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:07:34 +0000 2017;Cae ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:07:17 +0000 2017;sarah BeAnZ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 18:06:26 +0000 2017;no scrubs;RT @TobiasWalner: Nique le capitalisme et la société de consommation. Je refuse d'alimenter le systeme et les multinationales US qui nous.…;2
Tue Sep 19 18:06:19 +0000 2017;Jaxoo;@Tatsunao @BurgerKingFR Dsl une invitation limitée avec un accompagnant. Oui c'est bon on prit le Whopper leur clas… https://t.co/phyA9N87C3;0
Tue Sep 19 18:04:07 +0000 2017;?Tatsunao;@Jax0o @BurgerKingFR Sombre fils de pute ! T'invites meme pas ton frère ! C'etait bon au moins ?!;0
Tue Sep 19 18:01:54 +0000 2017;Nazaré;Ah c'est pour ça vous vendez un menu fish qui nourris pas pour 10 euro? https://t.co/ICm9AvEK4I;0
Tue Sep 19 17:53:51 +0000 2017;annab?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:53:11 +0000 2017;Its Mary;@Mina_zgr je savais que j'aurais du rester chez @BurgerKingFR  ? https://t.co/B0H30xqqxC;0
Tue Sep 19 17:46:59 +0000 2017;gg;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:45:39 +0000 2017;Jackie VALAUD;RT @Jax0o: Invitation @BurgerKingFR on test ça ! Et surprise, commande offerte ? Cool ?? https://t.co/3d6S7WUwwI;1
Tue Sep 19 17:44:41 +0000 2017;Jérôme  MOYSES;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:44:27 +0000 2017;GUIDA TAMERE LA PUTE;RT @TobiasWalner: Nique le capitalisme et la société de consommation. Je refuse d'alimenter le systeme et les multinationales US qui nous.…;2
Tue Sep 19 17:43:28 +0000 2017;TobiAss ?;Nique le capitalisme et la société de consommation. Je refuse d'alimenter le systeme et les multinationales US qui… https://t.co/Epvf54UbxW;2
Tue Sep 19 17:42:46 +0000 2017;Jaxoo;Invitation @BurgerKingFR on test ça ! Et surprise, commande offerte ? Cool ?? https://t.co/3d6S7WUwwI;1
Tue Sep 19 17:42:43 +0000 2017;Aegon;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:40:36 +0000 2017;j;RT @JustineRahon: Un bon mcdo https://t.co/2Iq7T9bKAY;17795
Tue Sep 19 17:39:31 +0000 2017;Aisuki;@xanask @BurgerKingFR Pas d'argent, pas de WHOOPER® c'est évident.;0
Tue Sep 19 17:38:35 +0000 2017;Grakna;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:31:23 +0000 2017;Manon;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:28:07 +0000 2017;??;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:27:23 +0000 2017;Fatigatchou ?;RT @BurgerKingFR: Si vous lisez cette phrase, c'est que vous n'êtes pas encore en chemin.Alors que vous devriez l'être.Dépêchez-vous.VIT…;11
Tue Sep 19 17:23:04 +0000 2017;Louuuue;@nils_gbt @lepopulaire_fr @BurgerKingFR Mec interesser;0
Tue Sep 19 17:20:42 +0000 2017;Suka;Ouais bah l'argent j'en ai pas contrairement à mes potes jme suis retrouve seul pendant qu'ils avaient le droit aux… https://t.co/KYYSKYLKfP;0
Tue Sep 19 17:17:51 +0000 2017;lilith;Need qqn pour m'offrir un whooper ? https://t.co/MSeo5Nuct6;0
Tue Sep 19 17:13:20 +0000 2017;SammyBoi?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:04:54 +0000 2017;Romain ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 17:04:01 +0000 2017;Dussel Tommy;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:58:14 +0000 2017;NW;Ou de la drogue, armes, prestations sexuelles ? https://t.co/CB1i63Kmps;0
Tue Sep 19 16:55:10 +0000 2017;tony king;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:50:47 +0000 2017;weedie;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:47:56 +0000 2017;jo roussoninho;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:43:28 +0000 2017;Noa de koko ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:25:03 +0000 2017;n?u?r?n;Big king xxl plutot petit joueur https://t.co/zCKiJRXFAf;0
Tue Sep 19 16:20:14 +0000 2017;Mariion ?;Soirée burger king ? @BurgerKingFR;0
Tue Sep 19 16:19:27 +0000 2017;Alban Rabasté;RT @tegan_fh: Niquez vos daronnes @BurgerKingFR a me donner votre truc au poisson de mort en burger mystère la. J'ai kidnappé votre plateau…;3
Tue Sep 19 16:18:07 +0000 2017;Saidou78 PSG;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:16:44 +0000 2017;Little Panda?????;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:16:21 +0000 2017;Jean ROBERT;@BurgerKingFR Faut-il ne pas fermer boutique à 19h30 un soir de match...;0
Tue Sep 19 16:14:03 +0000 2017;Sloan Fa?dele  ?;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:10:45 +0000 2017;AlexTasie;@BurgerKingFR Mais comment fait-il pour être aussi bon ?;0
Tue Sep 19 16:10:12 +0000 2017;???s;@BurgerKingFR Et si on a pas d'argent, pas de bonheur ? :((*tousse*, vous m'filez un whooper Gratos ? *regarde ailleurs*);0
Tue Sep 19 16:00:32 +0000 2017;Le Lion;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
Tue Sep 19 16:00:22 +0000 2017;cell;RT @BurgerKingFR: *Sauf quand on s'en sert pour acheter des WHOPPER®. https://t.co/spbtv9zvoW;48
